Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
100.020	892.972	100.010
100.060	892.989	100.008
100.100	893.427	100.009
100.140	893.991	100.012
100.180	893.940	100.010
100.220	893.943	100.014
100.260	893.997	100.015
100.300	893.776	100.012
100.340	893.926	100.011
100.380	893.794	100.015
100.420	893.570	100.014
100.460	894.020	100.010
100.500	894.046	100.014
100.540	894.063	100.013
100.580	895.054	100.017
100.620	895.274	100.012
100.660	895.720	100.015
100.700	896.091	100.013
100.740	895.776	100.014
100.780	895.768	100.015
100.820	896.814	100.012
100.860	898.440	100.011
100.900	899.091	100.012
100.940	900.842	100.012
100.980	902.400	100.013
101.020	904.300	100.013
101.060	905.999	100.016
101.100	907.536	100.017
101.140	910.119	100.022
101.180	912.432	100.019
101.220	914.415	100.018
101.260	916.530	100.017
101.300	919.018	100.023
101.340	920.780	100.024
101.380	922.962	100.024
101.420	925.113	100.028
101.460	926.891	100.028
101.500	928.990	100.030
101.540	929.625	100.034
101.580	930.105	100.033
101.620	930.864	100.037
101.660	930.358	100.039
101.700	929.461	100.044
101.740	928.458	100.046
101.780	926.765	100.049
101.820	924.137	100.053
101.860	921.005	100.058
101.900	915.837	100.062
101.940	909.473	100.064
101.980	900.036	100.068
102.020	888.625	100.076
102.060	875.760	100.075
102.100	860.232	100.079
102.140	842.157	100.087
102.180	822.752	100.088
102.220	800.919	100.095
102.260	777.660	100.101
102.300	750.552	100.106
102.340	719.414	100.111
102.380	684.372	100.117
102.420	645.059	100.123
102.460	601.822	100.131
102.500	557.334	100.136
102.540	513.173	100.143
102.580	467.825	100.153
102.620	421.391	100.158
102.660	369.265	100.166
102.700	316.840	100.170
102.740	262.137	100.177
102.780	208.093	100.186
102.820	146.935	100.194
102.860	89.691	100.204
102.900	33.798	100.207
102.940	-28.405	100.219
102.980	-92.832	100.227
103.020	-156.173	100.237
103.060	-219.766	100.244
103.100	-284.492	100.251
103.140	-347.267	100.263
103.180	-411.487	100.273
103.220	-469.782	100.279
103.260	-523.759	100.290
103.300	-577.642	100.301
103.340	-630.075	100.310
103.380	-681.998	100.320
103.420	-730.532	100.332
103.460	-776.726	100.340
103.500	-821.319	100.350
103.540	-864.541	100.364
103.580	-904.983	100.371
103.620	-942.600	100.383
103.660	-972.933	100.392
103.700	-997.557	100.410
103.740	-1022.373	100.420
103.780	-1047.032	100.427
103.820	-1065.780	100.439
103.860	-1069.797	100.452
103.900	-1067.546	100.466
103.940	-1063.674	100.476
103.980	-1053.421	100.480
104.020	-1035.030	100.498
104.060	-1009.125	100.510
104.100	-977.026	100.522
104.140	-935.963	100.537
104.180	-888.557	100.552
104.220	-830.609	100.563
104.260	-772.255	100.578
104.300	-713.068	100.591
104.340	-635.933	100.600
104.380	-549.695	100.617
104.420	-457.231	100.632
104.460	-365.873	100.641
104.500	-265.983	100.653
104.540	-162.783	100.669
104.580	-52.207	100.681
104.620	61.174	100.694
104.660	175.069	100.714
104.700	290.995	100.725
104.740	409.475	100.737
104.780	531.609	100.756
104.820	641.538	100.773
104.860	744.907	100.786
104.900	835.383	100.801
104.940	915.263	100.816
104.980	991.138	100.830
105.020	1062.140	100.844
105.060	1127.490	100.861
105.100	1183.669	100.875
105.140	1231.349	100.892
105.180	1282.926	100.906
105.220	1333.598	100.927
105.260	1377.751	100.940
105.300	1416.184	100.954
105.340	1441.960	100.972
105.380	1454.882	100.991
105.420	1452.009	101.005
105.460	1432.967	101.019
105.500	1402.096	101.036
105.540	1362.014	101.057
105.580	1316.301	101.074
105.620	1264.445	101.085
105.660	1194.639	101.105
105.700	1108.381	101.124
105.740	1014.234	101.139
105.780	909.100	101.157
105.820	793.434	101.177
105.860	669.108	101.197
105.900	530.741	101.209
105.940	381.106	101.232
105.980	216.340	101.250
106.020	41.144	101.269
106.060	-156.445	101.286
106.100	-361.161	101.302
106.140	-566.727	101.321
106.180	-786.792	101.343
106.220	-1011.277	101.358
106.260	-1218.761	101.377
106.300	-1407.873	101.398
106.340	-1587.541	101.418
106.380	-1777.004	101.435
106.420	-1966.492	101.453
106.460	-2154.826	101.471
106.500	-2315.117	101.492
106.540	-2445.617	101.514
106.580	-2544.670	101.533
106.620	-2606.823	101.549
106.660	-2632.002	101.568
106.700	-2621.120	101.588
106.740	-2584.267	101.609
106.780	-2517.572	101.633
106.820	-2430.850	101.650
106.860	-2337.164	101.672
106.900	-2244.585	101.692
106.940	-2140.397	101.712
106.980	-2017.740	101.733
107.020	-1878.177	101.758
107.060	-1726.758	101.773
107.100	-1551.901	101.796
107.140	-1351.259	101.816
107.180	-1141.588	101.835
107.220	-933.962	101.856
107.260	-692.795	101.881
107.300	-430.217	101.901
107.340	-160.617	101.923
107.380	113.024	101.942
107.420	380.741	101.968
107.460	639.468	101.989
107.500	904.561	102.014
107.540	1184.649	102.035
107.580	1453.318	102.055
107.620	1673.854	102.075
107.660	1896.447	102.098
107.700	2118.060	102.123
107.740	2336.305	102.146
107.780	2527.701	102.167
107.820	2662.263	102.189
107.860	2758.989	102.213
107.900	2824.006	102.235
107.940	2851.444	102.256
107.980	2863.382	102.286
108.020	2842.884	102.305
108.060	2831.539	102.329
108.100	2797.200	102.351
108.140	2678.507	102.373
108.180	2535.178	102.400
108.220	2366.709	102.424
108.260	2171.462	102.445
108.300	1939.499	102.470
108.340	1715.105	102.492
108.380	1486.342	102.519
108.420	1238.037	102.542
108.460	988.113	102.565
108.500	759.524	102.590
108.540	565.912	102.615
108.580	412.378	102.637
108.620	277.376	102.660
108.660	153.531	102.688
108.700	36.139	102.712
108.740	-84.511	102.741
108.780	-207.395	102.762
108.820	-321.847	102.787
108.860	-406.605	102.813
108.900	-459.798	102.835
108.940	-479.979	102.861
108.980	-482.871	102.886
109.020	-467.510	102.910
109.060	-427.949	102.937
109.100	-360.031	102.967
109.140	-268.446	102.987
109.180	-171.573	103.013
109.220	-87.753	103.043
109.260	1.230	103.064
109.300	139.923	103.089
109.340	270.208	103.116
109.380	381.845	103.141
109.420	484.130	103.170
109.460	582.313	103.195
109.500	676.254	103.219
109.540	771.512	103.248
109.580	890.491	103.275
109.620	1032.645	103.300
109.660	1191.721	103.322
109.700	1309.918	103.351
109.740	1342.295	103.382
109.780	1274.484	103.407
109.820	1117.365	103.433
109.860	940.725	103.459
109.900	768.076	103.489
109.940	599.195	103.515
109.980	427.994	103.540
110.020	255.330	103.566
110.060	78.981	103.595
110.100	-105.613	103.624
110.140	-298.903	103.649
110.180	-487.243	103.681
110.220	-655.627	103.707
110.260	-821.549	103.732
110.300	-983.500	103.757
110.340	-1117.210	103.787
110.380	-1219.736	103.816
110.420	-1278.641	103.844
110.460	-1301.492	103.872
110.500	-1266.191	103.902
110.540	-1198.711	103.928
110.580	-1125.191	103.953
110.620	-1041.483	103.984
110.660	-948.597	104.014
110.700	-835.161	104.041
110.740	-704.763	104.069
110.780	-562.565	104.098
110.820	-419.103	104.125
110.860	-294.323	104.153
110.900	-176.287	104.182
110.940	-44.284	104.209
110.980	128.141	104.237
111.020	310.151	104.268
111.060	468.879	104.297
111.100	632.359	104.326
111.140	781.971	104.355
111.180	930.652	104.382
111.220	1045.730	104.412
111.260	1121.351	104.442
111.300	1174.287	104.473
111.340	1201.837	104.501
111.380	1187.692	104.529
111.420	1136.558	104.560
111.460	1050.311	104.586
111.500	932.018	104.618
111.540	797.928	104.650
111.580	643.693	104.682
111.620	464.046	104.708
111.660	269.232	104.738
111.700	68.498	104.767
111.740	-148.886	104.799
111.780	-363.469	104.827
111.820	-575.580	104.857
111.860	-780.446	104.889
111.900	-963.154	104.920
111.940	-1121.821	104.949
111.980	-1235.660	104.980
112.020	-1286.682	105.010
112.060	-1287.514	105.041
112.100	-1262.909	105.069
112.140	-1210.499	105.101
112.180	-1136.818	105.133
112.220	-1034.755	105.159
112.260	-895.653	105.191
112.300	-737.266	105.224
112.340	-564.046	105.258
112.380	-359.893	105.286
112.420	-135.325	105.316
112.460	106.315	105.343
112.500	360.046	105.377
112.540	610.372	105.409
112.580	851.661	105.442
112.620	1080.710	105.472
112.660	1290.811	105.505
112.700	1468.314	105.536
112.740	1602.965	105.566
112.780	1684.001	105.595
112.820	1738.406	105.630
112.860	1774.008	105.658
112.900	1784.124	105.691
112.940	1763.657	105.723
112.980	1718.440	105.753
113.020	1666.700	105.786
113.060	1624.388	105.814
113.100	1590.914	105.853
113.140	1497.186	105.880
113.180	1307.972	105.913
113.220	1049.064	105.945
113.260	748.484	105.980
113.300	419.708	106.011
113.340	113.728	106.044
113.380	-154.149	106.079
113.420	-396.733	106.108
113.460	-603.720	106.137
113.500	-792.414	106.172
113.540	-942.732	106.202
113.580	-1046.493	106.233
113.620	-1093.138	106.266
113.660	-1083.632	106.301
113.700	-1034.700	106.335
113.740	-943.328	106.367
113.780	-811.649	106.399
113.820	-641.759	106.433
113.860	-436.232	106.463
113.900	-183.648	106.497
113.940	97.238	106.531
113.980	392.115	106.566
114.020	697.734	106.595
114.060	995.376	106.626
114.100	1259.147	106.661
114.140	1466.907	106.696
114.180	1629.709	106.728
114.220	1765.552	106.761
114.260	1867.436	106.793
114.300	1937.931	106.832
114.340	1971.013	106.864
114.380	1921.708	106.895
114.420	1847.777	106.926
114.460	1753.086	106.960
114.500	1610.901	106.997
114.540	1418.797	107.030
114.580	1195.487	107.061
114.620	955.206	107.090
114.660	700.180	107.126
114.700	442.571	107.161
114.740	173.416	107.195
114.780	-95.037	107.234
114.820	-345.674	107.265
114.860	-553.194	107.295
114.900	-731.275	107.328
114.940	-865.383	107.362
114.980	-950.109	107.402
115.020	-989.403	107.432
115.060	-984.584	107.465
115.100	-941.240	107.502
115.140	-858.477	107.534
115.180	-742.629	107.568
115.220	-590.942	107.602
115.260	-407.854	107.636
115.300	-211.818	107.672
115.340	-35.125	107.705
115.380	156.240	107.740
115.420	325.150	107.775
115.460	473.933	107.808
115.500	656.218	107.843
115.540	860.453	107.877
115.580	1036.278	107.913
115.620	1177.304	107.946
115.660	1281.928	107.979
115.700	1326.454	108.019
115.740	1308.312	108.045
115.780	1235.111	108.083
115.820	1128.596	108.117
115.860	991.289	108.155
115.900	788.798	108.188
115.940	520.600	108.222
115.980	240.099	108.262
116.020	-54.043	108.293
116.060	-363.282	108.326
