Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
100.020	-140.524	100.021
100.060	-140.574	100.017
100.100	-140.677	100.020
100.140	-140.441	100.017
100.180	-140.112	100.020
100.220	-139.569	100.020
100.260	-139.620	100.022
100.300	-139.197	100.022
100.340	-139.184	100.020
100.380	-139.569	100.021
100.420	-139.609	100.024
100.460	-139.863	100.021
100.500	-140.179	100.023
100.540	-139.786	100.021
100.580	-139.217	100.021
100.620	-139.386	100.020
100.660	-139.244	100.021
100.700	-138.905	100.019
100.740	-138.536	100.020
100.780	-137.814	100.020
100.820	-137.175	100.023
100.860	-136.272	100.020
100.900	-135.818	100.023
100.940	-134.705	100.024
100.980	-133.345	100.025
101.020	-132.063	100.019
101.060	-129.971	100.022
101.100	-127.599	100.025
101.140	-125.619	100.024
101.180	-123.524	100.028
101.220	-120.826	100.028
101.260	-117.579	100.027
101.300	-114.795	100.026
101.340	-111.834	100.031
101.380	-107.497	100.033
101.420	-103.938	100.031
101.460	-100.176	100.035
101.500	-95.551	100.039
101.540	-90.955	100.042
101.580	-85.308	100.042
101.620	-80.168	100.047
101.660	-74.273	100.045
101.700	-67.791	100.053
101.740	-61.204	100.056
101.780	-54.469	100.054
101.820	-47.320	100.061
101.860	-40.118	100.063
101.900	-31.978	100.067
101.940	-23.933	100.073
101.980	-15.387	100.076
102.020	-6.214	100.081
102.060	3.329	100.084
102.100	13.367	100.086
102.140	23.485	100.088
102.180	34.507	100.096
102.220	45.160	100.102
102.260	56.078	100.108
102.300	68.186	100.117
102.340	81.054	100.120
102.380	94.320	100.130
102.420	109.079	100.135
102.460	123.520	100.134
102.500	138.947	100.146
102.540	155.278	100.153
102.580	171.609	100.158
102.620	188.094	100.164
102.660	205.845	100.172
102.700	223.449	100.179
102.740	241.638	100.182
102.780	260.071	100.194
102.820	279.353	100.200
102.860	298.622	100.207
102.900	317.984	100.220
102.940	337.144	100.224
102.980	356.222	100.232
103.020	374.232	100.242
103.060	391.282	100.253
103.100	407.793	100.261
103.140	423.710	100.271
103.180	439.000	100.277
103.220	453.016	100.287
103.260	465.518	100.299
103.300	477.514	100.307
103.340	487.411	100.316
103.380	495.843	100.328
103.420	501.450	100.339
103.460	505.047	100.349
103.500	506.181	100.359
103.540	505.409	100.371
103.580	503.524	100.377
103.620	498.922	100.388
103.660	491.994	100.399
103.700	482.074	100.416
103.740	469.151	100.423
103.780	455.711	100.432
103.820	441.694	100.453
103.860	423.913	100.458
103.900	401.246	100.468
103.940	378.695	100.482
103.980	354.672	100.496
104.020	328.913	100.508
104.060	300.264	100.519
104.100	270.600	100.531
104.140	239.111	100.546
104.180	206.923	100.556
